88,dzedal.com.ba,coinimp,_client.start,coinhive,coinhive.min.js
89,arabbattery.com,deepminer,deepMiner.Anonymous,NotFound,
90,saarfari.org,coinhive,coinhive.min.js,NotFound,
91,choisirsoncourtier.fr,coinimp,_client.start,NotFound,
92,ricecrop.com.br,coinhive,coinhive.min.js,NotFound,
93,ecomerc.site,coinimp,_client.start,NotFound,
94,i-podrostok.ru,coinhive,coinhive.min.js,NotFound,
95,shsmzzl.com,coinhive,coinhive.min.js,NotFound,
96,825555.com,deepminer,deepMiner.Anonymous,NotFound,
97,firstonetv.live,coinimp,_client.start,NotFound,
98,buy-multhaup.de,deepminer,deepMiner.Anonymous,NotFound,
99,tourist39.com,coinimp,_client.start,NotFound,
100,sucataeletroinfo.com.br,coinhive,coinhive.min.js,NotFound,
101,sanignaciodetalca.cl,coinimp,_client.start,NotFound,
102,dixshop.com,deepminer,deepMiner.Anonymous,NotFound,
103,canal8salta.com.ar,coinhive,coinhive.min.js,NotFound,
104,fonts4web.ru,coinhive,coinhive.min.js,NotFound,
105,chain-fx.com,coinhive,coinhive.min.js,NotFound,
106,gvcc.info,coinhive,coinhive.min.js,NotFound,
107,sevent.sk,coinhive,wp-monero-miner-using-coin-hive,webminerpool,webmr.js
108,vashatolstovka.ru,browsermine,bmst.pw,NotFound,
109,indoimage.com,coinhive,coinhive.min.js,NotFound,
110,eshobby.com,deepminer,deepMiner.Anonymous,NotFound,
111,orkuncetin.com,authedmine,authedmine.min.js,NotFound,
112,winfast.com.cn,deepminer,deepMiner.Anonymous,NotFound,
113,kinkopf.com,cryptloot,CRLT.Anonymous,NotFound,
114,familytube.online,webminepool,WMP.Anonymous,NotFound,
115,226522.com,deepminer,deepMiner.Anonymous,NotFound,
116,redboxjobs.com,jsecoin,load.jsecoin.com,NotFound,
117,locksmith.reviews,coinimp,_client.start,NotFound,
118,whollytech.com,deepminer,deepMiner.Anonymous,NotFound,
119,fmct-gabon.com,coinhive,coinhive.min.js,NotFound,
120,my3dfit.com,coinhive,coinhive.min.js,NotFound,
121,uhrenonline.at,coinhive,wp-monero-miner-using-coin-hive,webminerpool,webmr.js
122,brndventure.com,coinimp,_client.start,NotFound,
123,addmenow.eu,authedmine,simple-ui.min.js,NotFound,
124,radioselfie.it,coinhive,coinhive.min.js,NotFound,
125,smspakistan.biz,coinhive,coinhive.min.js,NotFound,
126,zixieche.com,deepminer,deepMiner.Anonymous,NotFound,
127,yingmaokeji.com,deepminer,deepMiner.Anonymous,NotFound,
128,eaglerayventures.com,coinhive,coinhive.min.js,NotFound,
129,viaggiareko.com,cryptloot,CRLT.Anonymous,NotFound,
130,planetchihuahua.com,jsecoin,load.jsecoin.com,NotFound,
131,pginvest.com,coinhive,wp-monero-miner-using-coin-hive,webminerpool,webmr.js
132,drevenicaerika.sk,coinimp,_client.start,NotFound,
133,gnrdesigns.com,coinhive,coinhive.min.js,NotFound,
134,penzionsalamander.sk,coinimp,_client.start,NotFound,
135,eligere.fr,coinhive,coinhive.min.js,authedmine,simple-ui.min.js
136,devby.ru,coinhive,coinhive.min.js,NotFound,
137,freefilipinadatingsites.com,deepminer,deepMiner.Anonymous,NotFound,
138,lovehotsexytoys.com,webminepool,wmp-site-key,NotFound,
139,mobilephones2go.co.uk,authedmine,authedmine.min.js,NotFound,
140,armkuban.ru,cryptloot,CRLT.Anonymous,NotFound,
141,ambulatore.org,authedmine,simple-ui.min.js,NotFound,
142,telodono.it,coinhive,coinhive.min.js,NotFound,
143,perina18.ru,browsermine,bmst.pw,NotFound,
144,trakiweb.com,jsecoin,load.jsecoin.com,NotFound,
145,govinddas.com,coinhive,coinhive.min.js,NotFound,
146,nukecops.com,coinhive,coinhive.min.js,NotFound,
147,photowedd.com,coinhive,coinhive.min.js,NotFound,
148,real-sector.ru,cryptloot,CRLT.Anonymous,NotFound,
149,gangbei.com,deepminer,deepMiner.Anonymous,NotFound,
150,juaneiras.com.ar,coinhive,coinhive.min.js,NotFound,
151,centipedegrass-seed.com,coinhive,coinhive.min.js,NotFound,
152,spmiswat.com,coinhive,coinhive.min.js,NotFound,
153,lesproekt.ru,coinhive,coinhive.min.js,NotFound,
154,gmsupply.ru,coinhive,coinhive.min.js,NotFound,
155,sojipai.com,deepminer,deepMiner.Anonymous,NotFound,
156,ashoorelectric.com,coinimp,_client.start,NotFound,
157,giftkueche.org,webminerpool,webminer,NotFound,
158,fonez4u.com,authedmine,authedmine.min.js,NotFound,
159,perfectbroadcast.ro,coinimp,_client.start,NotFound,
160,interaction-psychology.com,coinhive,coinhive.min.js,NotFound,
161,zandcdesigns.com,jsecoin,load.jsecoin.com,NotFound,
162,krediuzmanlari.com,webminepool,WMP.Anonymous,NotFound,
163,sierranorte.org.mx,webminepool,WMP.Anonymous,NotFound,
164,drini.eropolis.hu,jsecoin,load.jsecoin.com,NotFound,
165,crypto-browsers.com,jsecoin,load.jsecoin.com,NotFound,
166,jeewandevelopers.com,coinhive,coinhive.min.js,NotFound,
167,nontonfilmbioskop.space,coinhive,coinhive.min.js,NotFound,
168,reenexpromotion.com,deepminer,deepMiner.Anonymous,NotFound,
169,biosantarim.com,coinimp,_client.start,coinhive,coinhive.min.js
170,filmbioskop.space,coinhive,coinhive.min.js,NotFound,
171,firozehkavir.ir,coinhive,coinhive.min.js,NotFound,
172,protrendonline.com,coinimp,_client.start,NotFound,
173,you-sale.ru,cryptloot,CRLT.Anonymous,NotFound,
174,zhonli.net,coinimp,_client.start,NotFound,
175,tessum.com,coinhive,coinhive.min.js,NotFound,
176,macutopia.es,coinhive,coinhive.min.js,NotFound,
177,xn--rlt-hoa73b.hu,coinimp,_client.start,NotFound,
178,nubellena.blogspot.com,coinhive,coinhive.min.js,NotFound,
179,marcogarofalo.com,coinhive,coinhive.min.js,NotFound,
180,gdwbetpoipet.com,coinimp,_client.start,NotFound,
181,lewismick.online,jsecoin,load.jsecoin.com,NotFound,
182,coinolymp.com,coinhive,coinhive.min.js,authedmine,simple-ui.min.js
183,riferimentoimmobiliare.it,monerise,monerise_payment_address,NotFound,
184,centralbazarcdmx.com,coinimp,_client.start,NotFound,
185,rainpkw1.blogspot.com,coinhive,coinhive.min.js,NotFound,
186,gorantla.ca,coinhive,coinhive.min.js,NotFound,
187,andam.vn,coinimp,_client.start,NotFound,
188,mathieu-digiwereld.be,coinhive,coinhive.min.js,NotFound,
189,kagua.net,deepminer,deepMiner.Anonymous,NotFound,
190,beckmann.me,jsecoin,load.jsecoin.com,NotFound,
191,darkbux.ru,browsermine,bmst.pw,NotFound,
192,krok-m.narod.ru,browsermine,bmst.pw,NotFound,
193,danzyworld.com,coinhive,coinhive.min.js,NotFound,
194,maysystems.sk,coinhive,coinhive.min.js,NotFound,
195,ruba.at.ua,coinhive,coinhive.min.js,NotFound,
196,airsoftland.fr,coinhive,coinhive.min.js,NotFound,
197,eboeta.com,deepminer,deepMiner.Anonymous,NotFound,
198,blsltd.com,coinhive,coinhive.min.js,NotFound,
199,ifitsit.com,coinhive,coinhive.min.js,NotFound,
200,mahmutozpinar.com,coinimp,_client.start,NotFound,
201,bitcoearn.com,coinhive,wp-monero-miner-using-coin-hive,webminerpool,webmr.js
202,rednubes.de,coinimp,_client.start,NotFound,
203,sdi-alhusna.com,jsecoin,load.jsecoin.com,NotFound,
204,kazerne.net,coinhive,coinhive.min.js,NotFound,
205,dizelok.com.ua,jsecoin,load.jsecoin.com,NotFound,
206,ruibalbernardez.com,coinhive,coinhive.min.js,NotFound,
207,riechtjonasgeradekomisch.com,coinhive,coinhive.min.js,NotFound,
208,menontononline.com,coinhive,coinhive.min.js,NotFound,
209,synergiabpo.com,coinhive,coinhive.min.js,NotFound,
210,seralonso.com,coinhive,coinhive.min.js,NotFound,
211,abroadica.com,coinimp,_client.start,NotFound,
212,gofi.cz,coinhive,coinhive.min.js,NotFound,
213,debrouilart.com,coinhive,coinhive.min.js,NotFound,
214,cheapestmobilecontracts.co.uk,authedmine,authedmine.min.js,NotFound,
215,juliegam.fr,coinhive,coinhive.min.js,authedmine,simple-ui.min.js
216,alinapurtova.com,browsermine,bmst.pw,NotFound,
217,mfcsch.ru,cryptloot,CRLT.Anonymous,NotFound,
218,thelafamily.org,coinimp,_client.start,NotFound,
219,z-ykt.ru,webminepool,WMP.Anonymous,NotFound,
220,na-nemeckom.ru,coinhive,coinhive.min.js,NotFound,
221,klockan.info,coinhive,coinhive.min.js,NotFound,
222,elsluijerink.nl,coinhive,coinhive.min.js,NotFound,
223,dennis-wacker.de,coinhive,coinhive.min.js,NotFound,
224,osobowice.pl,coinimp,_client.start,NotFound,
