coinimp,_client.start,,,
coinhive,coinhive.min.js,authedmine.min.js,simple-ui.min.js,authedmine.eu/lib/1.js
jsecoin,load.jsecoin.com,,,
cryptoloot,CRLT.Anonymous(,,,
webminepool,WMP.Anonymous(,,,
browsermine,bmst.pw,,,
wpmonerominer,wp-monero-miner,,,
nerohut,nerohut.com/srv,,,
webminerpool,webmr.js,,,
coinhave,cdn.minescripts.info,,,
deepminer,deepMiner.Anonymous,,,
monerise,monerise_payment_address,,,
webmine,webmine.cz,,,
coinnebula,CoinNebula,,,
