?perfekt=wss
bitrix/js/main/core/core_loader.js
jssdk.beetv.net/
exdynsrv.com
miner.js
ethtrader.de
gramombird.com
.gramombird.com/
coinpot.co
swiftmining.win
flightzy.bid
flightzy.date
cashbeet.com
statdynamic.com
serv1swork.com
webxmr.com
crypto-webminer.com
feesocrald.com
.feesocrald.com/
eth-pocket.de
lib/crlt.js
flightsy.bid
?proxy=ws
cloud-miner.eu
webmine.pro
vuryua.ru
cnhv.co
staticsfs.host
.moonify.io/moonify.min.js
eth-pocket.com
worker-asmjs.min.js
binarybusiness.de
webmining.co
service4refresh.info
easyhash.de
cloud-miner.de
.edgeno.de/
xy.nullrefexcep.com
d3al52d8cojds7.cloudfront.net/
.nullrefexcep.com/
papoto.com
besstahete.info
flightsy.win
alflying.win
.coinhive.com/proxy
.jquery-uim.download/
jquery-uim.download
mfio.cf
ad-miner.com
minr.pw
n.2.1.js
.datasecu.download/
datasecu.download
reauthenticator.com
biberukalap.com
.cookiescript.info/libs/
oei1.gq
istlandoll.com
aster18cdn.nl
lightminer.co
.sparechange.io/static/sparechange.js
monerominer.rocks
cryptown.netlify.com/
.inwemo.com/inwemo.min.js
hemnes.win
sparechange.io
.nabaza.com/
laserveradedomaina.com
.istlandoll.com/
cryptaloot.pro
vbb/me0w.js
spacepools.org
mepirtedic.com
traffic.tc-clicks.com
gitgrub.pro
?proxy=wss
brominer.com
analytics.blue
httpp.gdn
miner.nimiq.com
wsp.marketgid.com
cdn.adless.io/
.tercabilis.info/
autologica.ga
thelifeisbinary.netlify.com/
miner.nablabee.com/
adless.io
cpufan.club
de-ner-mi-nis4.info
de-nis-ner-mi-5.info
mi-de-ner-nis3.info
.ner-de-mi-nis-6.info/
cryptobara.com
45.32.105.134
verifier.live
cryptonoter.com
gustaver.ddns.net/
.de-nis-ner-mi-5.info/
offerreality.com
nametraff.com
machieved.com
.de-ner-mi-nis4.info/
cryptonight.wasm
.cpufan.club/
gustaver.ddns.net
nablabee.com
.ron.si/
xmr.omine.org/assets/
alflying.date
anybest.site
bewaslac.com
cfcdist.gdn
freecontent.date
bablace.com
.cfcdist.gdn/
.jqassets.download/
.hk.rs/
tercabilis.info
coinminingonline.com
jqassets.download
.crypto-webminer.com/
zymerget.bid
monero-miner.com
.cryptobara.com/
minero.cc/lib/minero.min.js
perfekta.js
uvuvwe.bid/jo/jo/miner
"""hashing.win/scripts"""
"""https://bitcoin-pay.eu/"""
compressed/webmr.js
